episode,reward
0,0.0875
100,0.211
200,0.0915
300,0.0615
400,0.1245
500,0.1425
600,0.178
700,0.1375
800,0.126
900,0.157
1000,0.128
1100,0.137
1200,0.1855
1300,0.135
1400,0.081
1500,0.0435
1600,0.125
1700,0.0935
1800,0.1465
1900,0.1535
2000,0.173
2100,0.11
2200,0.204
2300,0.1705
2400,0.194
2500,0.161
2600,0.186
2700,0.1575
2800,0.1275
2900,0.1095
3000,0.116
3100,0.081
3200,0.0815
3300,0.0985
3400,0.1645
3500,0.124
3600,0.143
3700,0.1545
3800,0.1715
3900,0.1355
4000,0.1815
4100,0.1555
4200,0.1455
4300,0.144
4400,0.1235
4500,0.1195
4600,0.127
4700,0.1375
4800,0.164
4900,0.148
